Date,Price,Open,High,Low,Vol.,Change %
"Mar 13, 2014",928.86,921.77,928.86,921.36,1.29B,1.22%
"Mar 14, 2014",928.10,923.27,928.21,920.23,907.25M,-0.08%
"Mar 17, 2014",931.77,929.16,931.77,923.51,731.53M,0.40%
"Mar 18, 2014",928.80,933.47,934.71,928.12,1.02B,-0.32%
"Mar 19, 2014",922.81,930.98,935.30,919.88,1.10B,-0.64%
"Mar 20, 2014",920.22,917.35,920.22,912.26,957.51M,-0.28%
"Mar 21, 2014",919.32,920.80,921.76,913.30,1.12B,-0.10%
"Mar 24, 2014",912.35,918.70,919.06,910.51,907.48M,-0.76%
"Mar 25, 2014",917.34,913.68,917.37,906.28,712.86M,0.55%
"Mar 26, 2014",921.49,920.34,923.76,918.45,599.06M,0.45%
"Mar 27, 2014",919.06,922.49,925.84,917.51,485.27M,-0.26%
"Mar 28, 2014",929.84,919.48,937.38,918.70,833.96M,1.17%
"Mar 31, 2014",935.76,933.64,937.00,931.22,559.20M,0.64%
"Apr 01, 2014",943.93,936.78,943.93,933.96,654.15M,0.87%
"Apr 02, 2014",950.66,945.72,951.42,941.25,862.70M,0.71%
"Apr 03, 2014",946.18,949.39,951.58,943.37,784.25M,-0.47%
"Apr 04, 2014",946.53,946.84,951.17,943.48,624.55M,0.04%
"Apr 08, 2014",936.94,947.20,952.75,936.64,738.04M,-1.01%
"Apr 09, 2014",938.35,940.45,944.65,936.59,497.48M,0.15%
"Apr 10, 2014",944.06,940.25,944.26,936.04,560.77M,0.61%
"Apr 11, 2014",943.45,939.39,943.69,937.28,461.57M,-0.06%
"Apr 16, 2014",952.63,944.14,953.47,943.54,547.87M,0.97%
"Apr 17, 2014",957.23,952.11,959.99,951.45,901.35M,0.48%
"Apr 18, 2014",957.17,958.81,961.80,956.19,909.66M,-0.01%
"Apr 21, 2014",960.25,957.66,963.24,954.71,536.06M,0.32%
"Apr 22, 2014",961.20,963.42,964.82,956.14,684.81M,0.10%
"Apr 23, 2014",966.50,963.94,968.43,963.15,647.27M,0.55%
"Apr 24, 2014",964.83,967.25,968.30,962.66,820.91M,-0.17%
"Apr 25, 2014",953.36,961.65,964.63,953.36,1.06B,-1.19%
"Apr 28, 2014",956.25,954.61,960.96,954.31,540.70M,0.30%
"Apr 29, 2014",956.51,954.06,958.54,950.91,441.42M,0.03%
"Apr 30, 2014",959.51,958.06,962.75,956.93,609.37M,0.31%
"May 02, 2014",964.36,960.73,964.71,959.89,899.71M,0.51%
"May 06, 2014",952.73,966.21,968.39,952.67,867.51M,-1.21%
"May 07, 2014",951.52,943.08,952.40,940.57,1.01B,-0.13%
"May 08, 2014",935.41,948.93,950.43,934.56,926.55M,-1.69%
"May 09, 2014",935.41,933.75,940.30,930.44,688.33M,0.00%
"May 12, 2014",932.70,934.86,936.89,930.00,540.04M,-0.29%
"May 14, 2014",946.78,936.95,946.90,936.89,1.08B,1.51%
"May 15, 2014",946.88,945.45,948.08,940.88,911.75M,0.01%
"May 16, 2014",955.52,943.04,957.89,941.85,996.21M,0.91%
"May 19, 2014",959.26,955.03,959.34,953.71,426.67M,0.39%
"May 20, 2014",946.50,947.49,951.49,942.29,857.26M,-1.33%
"May 21, 2014",950.46,945.65,953.60,944.58,678.55M,0.42%
"May 22, 2014",950.59,955.47,959.47,948.62,876.25M,0.01%
"May 23, 2014",944.13,931.99,944.67,930.44,1.10B,-0.68%
"May 26, 2014",937.07,944.18,944.41,931.43,819.46M,-0.75%
"May 27, 2014",938.09,939.21,941.94,933.77,1.04B,0.11%
"May 28, 2014",945.08,943.07,950.01,942.01,1.11B,0.75%
"May 29, 2014",948.66,946.16,952.54,945.51,840.39M,0.38%
"May 30, 2014",952.20,951.43,955.98,950.52,1.35B,0.37%
"Jun 02, 2014",971.73,958.66,972.53,957.87,1.60B,2.05%
"Jun 03, 2014",982.07,982.48,984.60,975.77,1.47B,1.06%
"Jun 04, 2014",978.32,983.54,985.16,976.92,1.16B,-0.38%
"Jun 05, 2014",980.11,981.65,982.50,974.12,802.19M,0.18%
"Jun 06, 2014",983.64,986.46,987.31,980.89,973.34M,0.36%
"Jun 09, 2014",982.07,988.24,988.96,979.54,743.79M,-0.16%
"Jun 10, 2014",990.66,979.30,990.98,976.04,2.49B,0.87%
"Jun 11, 2014",985.56,990.05,990.67,979.59,2.32B,-0.51%
"Jun 12, 2014",979.28,983.49,987.60,979.28,1.06B,-0.64%
"Jun 13, 2014",977.89,978.17,983.84,976.25,1.15B,-0.14%
"Jun 16, 2014",990.03,980.89,992.17,980.82,609.64M,1.24%
"Jun 17, 2014",988.25,992.14,993.80,986.38,1.08B,-0.18%
"Jun 18, 2014",974.78,988.20,989.36,972.91,959.21M,-1.36%
"Jun 19, 2014",981.66,977.76,982.71,970.36,1.19B,0.71%
"Jun 20, 2014",984.82,983.66,985.87,979.17,810.22M,0.32%
"Jun 23, 2014",985.71,987.69,989.69,983.61,705.74M,0.09%
"Jun 24, 2014",979.83,983.76,984.13,974.54,762.30M,-0.60%
"Jun 25, 2014",985.87,981.21,986.83,978.49,853.94M,0.62%
